aired_at,duration,client_name,channel_name,city_name,campaign_name,brand_name,video_path,thumbnail_path
2015-12-23T11:45:55:000000Z,10.00,"LOreal India Pvt. Ltd.","Zee Cinema",Maharashtra,"LP_Range Sachet ","LOREAL PARIS",http://amagicloud.s3.amazonaws.com/archive/2015-12-23/ZC/MU/6OS0MWXVUAC0_171555_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-23/ZC/MU/6OS0MWXVUAC0_171555_10.jpg
2015-12-03T12:35:24:000000Z,20.00,"GK Tobacco Industries Pvt Ltd","Zee Cinema",DTH,"Zafri Pan Masala","Zafri Pan Masala",http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZC/MA/6IH72M12VPAL_180524_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-03/ZC/MA/6IH72M12VPAL_180524_20.jpg
2015-12-12T12:11:03:000000Z,20.00,"GK Tobacco Industries Pvt Ltd",IBN7,Rajasthan,"Zafri Pan Masala","Zafri Pan Masala",http://amagicloud.s3.amazonaws.com/archive/2015-12-12/IB/MA/6IH72M09308S_174103_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-12/IB/MA/6IH72M09308S_174103_20.jpg
2015-12-09T05:56:00:000000Z,10.00,"Nova and Company","Zee TV","Madhya Pradesh","Nova Cream","Nova Cream",http://amagicloud.s3.amazonaws.com/archive/2015-12-09/ZT/BH/1YK6GR7IW4FB_112600_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-09/ZT/BH/1YK6GR7IW4FB_112600_10.jpg
2015-12-13T13:23:28:000000Z,20.00,"FERRERO INDIA PVT. LTD.",IBN7,Maharashtra,"KJ Ei7 Suste   ","Kinder Joy",http://amagicloud.s3.amazonaws.com/archive/2015-12-13/IB/MU/75KAJFEI4548_185328_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-13/IB/MU/75KAJFEI4548_185328_20.jpg
2015-12-16T11:56:25:000000Z,20.00,"Hindustan Unilever Limited","Zee TV",Delhi,HUL_Comfort,Comfort,http://amagicloud.s3.amazonaws.com/archive/2015-12-16/ZT/DL/72ZVRWLIQUIK_172625_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-16/ZT/DL/72ZVRWLIQUIK_172625_20.jpg
2015-12-18T05:11:34:000000Z,20.00,"Canary Apparels Pvt Ltd.",IBN7,"Uttar Pradesh","Canary London","Canary Apparels Pvt Ltd.",http://amagicloud.s3.amazonaws.com/archive/2015-12-18/IB/UR/2MW1R3UZ8SZ3_104134_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-18/IB/UR/2MW1R3UZ8SZ3_104134_20.jpg
2015-12-23T14:12:13:000000Z,15.00,"Slanzer Technology Private Limited",IBN7,Delhi,"Slanzer Gadgets","Slanzer Gadgets",http://amagicloud.s3.amazonaws.com/archive/2015-12-23/IB/MA/6QR1FQYPAD18_194213_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-23/IB/MA/6QR1FQYPAD18_194213_15.jpg
2015-12-23T15:25:43:000000Z,15.00,"Hindustan Unilever Limited","Zee TV",Bihar,"HUL_Vim Bar","Vim Bar",http://amagicloud.s3.amazonaws.com/archive/2015-12-23/ZT/PT/8CYE6DUX7NFO_205543_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-23/ZT/PT/8CYE6DUX7NFO_205543_15.jpg
2015-12-02T04:54:29:000000Z,15.00,"ITC Limited","Zee TV","North East","ITC_Savlon Soap","Savlon Soap",http://amagicloud.s3.amazonaws.com/archive/2015-12-02/ZT/GW/7KAN8I8W33UN_102429_15.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-02/ZT/GW/7KAN8I8W33UN_102429_15.jpg
